name,category,attraction_type,region,tourist_area,locality,municipality,tier,popularity,accessibility,open_in_september,best_season,needs_hiking,duration,tickets,photography,confidence,spots_within_25km,spots_within_50km,is_route,lat,lon,maps_url
Góðafoss Waterfall,Game of Thrones filming locations,Waterfall,Northeast,North Iceland,,Þingeyjarsveit,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (5 min Walk from Parking),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,6,24,,65.682995,-17.550823,"https://www.google.com/maps?q=65.682995,-17.550823"
Mývatn,Game of Thrones filming locations,Volcanic Lake Basin,Northeast,North Iceland,,Þingeyjarsveit,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (Drive & Short Walks),Full-Day (4-8h),Free / Open Access,5-Star (World-Class),curated,8,14,,65.60386,-16.996106,"https://www.google.com/maps?q=65.60386,-16.996106"
Fjaðrárgljúfur,Hikes / Places to Hike,Canyon,South,South Coast,,Skaftárhreppur,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,May-Oct,Moderate Hike (45-60 min Rim Walk),Standard Visit (1-1.5h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,7,14,,63.771279,-18.1718159,"https://www.google.com/maps?q=63.771279,-18.1718159"
Landmannalaugar,Hikes / Places to Hike,Geothermal Highland Valley,South,Highlands,,Rangárþing ytra,Tier 1 (S-Tier),Iconic,Challenging (4x4 / F-Road),Yes - Open Early Sept (4x4/Snow Dependent Late Sept),Jun-Sep Only,Strenuous / Long Hike (2h-6h Highland Loop Trails),Full-Day (4-8h),Parking Reservation Required in Summer,5-Star (World-Class),curated,3,15,,63.9923082,-19.0596402,"https://www.google.com/maps?q=63.9923082,-19.0596402"
Blue Lagoon,Hot springs,Hot Spring / Spa,Reykjanes,Reykjanes Peninsula,,Grindavíkurbær,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Flat Walk),Half-Day (2-4h),Ticket / Pre-Booking Required,5-Star (World-Class),curated,28,54,,63.8801127,-22.4493492,"https://www.google.com/maps?q=63.8801127,-22.4493492"
Myvatn Nature Baths,Hot springs,Geothermal Spa,Northeast,North Iceland,,Þingeyjarsveit,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0 min),Half-Day (2-3h),Ticket / Pre-Booking Required,4-Star,curated,8,14,,65.6309287,-16.8479559,"https://www.google.com/maps?q=65.6309287,-16.8479559"
Diamond Beach,Points of Interest,Black Sand Beach,South,South Coast / East,,Sveitarfélagið Hornafjörður,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (2 min Walk from Parking),Quick Stop (30-45m),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,4,14,,64.0427623,-16.1814722,"https://www.google.com/maps?q=64.0427623,-16.1814722"
Great Geysir,Points of Interest,Geothermal Area,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Flat Walk),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,14,36,,64.3138792,-20.2995425,"https://www.google.com/maps?q=64.3138792,-20.2995425"
Jökulsárlón Glacial Lagoon,Points of Interest,Glacier Lagoon,South,South Coast / East,,Sveitarfélagið Hornafjörður,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Walk to Shore),Standard Visit (1-2h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,4,14,,64.0504301,-16.1907589,"https://www.google.com/maps?q=64.0504301,-16.1907589"
Kirkjufell,Points of Interest,Iconic Mountain,West,Snæfellsnes Peninsula,Grundarfjarðarbær,,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (10 min to Falls),Quick Stop (45m-1h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,10,24,,64.9416667,-23.3069444,"https://www.google.com/maps?q=64.9416667,-23.3069444"
Reynisfjara Beach,Points of Interest,Black Sand Beach,South,South Coast,,Mýrdalshreppur,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (2-5 min Walk on Beach),Standard Visit (1h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,8,19,,63.402399,-19.0397357,"https://www.google.com/maps?q=63.402399,-19.0397357"
Stokksnes and Vestrahorn,Points of Interest,Coastal Mountain,South,East Iceland,,Sveitarfélagið Hornafjörður,Tier 1 (S-Tier),Iconic,Easy (Paved/Gravel),Yes - Fully Open,Year-Round,No Hike (5-10 min Walk on Dunes),Standard Visit (1-2h),Paid Entrance Ticket (~1000 ISK),5-Star (World-Class),curated,2,5,,64.2440726,-14.964838,"https://www.google.com/maps?q=64.2440726,-14.964838"
Strokkur Geyser,Points of Interest,Geothermal Area,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Flat Walk),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,14,36,,64.3130512,-20.3005275,"https://www.google.com/maps?q=64.3130512,-20.3005275"
Geysir Geothermal Area,The Ultimate Golden Circle Route,Geothermal Area,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Flat Walk),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,15,40,,64.279147,-20.358267,"https://www.google.com/maps?q=64.279147,-20.358267"
Þingvellir National Park,The Ultimate Golden Circle Route,National Park / Historical,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (20-45 min Canyon Footpath),Half-Day (2-3h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,10,67,,64.2571245,-21.1307055,"https://www.google.com/maps?q=64.2571245,-21.1307055"
Boat tour on Jökulsárlón glacier lagoon,Tours and activities,Glacier Boat Tour,South,South Coast / East,,Sveitarfélagið Hornafjörður,Tier 1 (S-Tier),Iconic,Easy (Guided Tour),Yes - Fully Open (Operates until Nov),May-Oct,No Hike (0 min),Standard Visit (1.5h),Ticket / Pre-Booking Required,5-Star (World-Class),curated,5,14,,64.0804542,-16.2298968,"https://www.google.com/maps?q=64.0804542,-16.2298968"
Snorkeling and diving at Silfra,Tours and activities,Diving / Snorkeling,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Guided Tour),Yes - Fully Open,Year-Round,Short Easy Walk (5-10 min Walk in Gear),Half-Day (3-4h),Ticket / Pre-Booking Required,5-Star (World-Class),curated,10,67,,64.2552927,-21.1168267,"https://www.google.com/maps?q=64.2552927,-21.1168267"
Dettifoss,Waterfalls,Waterfall,Northeast,North Iceland,,Norðurþing,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open (West 862 Paved),Year-Round,Short Easy Walk (15 min Trail from West Lot),Standard Visit (1-1.5h),Free / Open Access,5-Star (World-Class),curated,2,12,,65.8146662,-16.384576,"https://www.google.com/maps?q=65.8146662,-16.384576"
Dynjandi,Waterfalls,Waterfall,Westfjords,Westfjords,,Ísafjarðarbær,Tier 1 (S-Tier),Iconic,Moderate (Paved/Good Gravel),Yes - Fully Open,May-Oct,Moderate Hike (20-30 min Uphill Trail),Standard Visit (1.5h),Free / Open Access,5-Star (World-Class),curated,3,19,,65.7328135,-23.199842,"https://www.google.com/maps?q=65.7328135,-23.199842"
Gullfoss,Waterfalls,Waterfall,South,Golden Circle,,Bláskógabyggð,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (10-15 min Boardwalk/Stairs),Standard Visit (1-1.5h),Free / Open Access,5-Star (World-Class),curated,12,33,,64.3273726,-20.1213527,"https://www.google.com/maps?q=64.3273726,-20.1213527"
Kirkjufellsfoss,Waterfalls,Waterfall,West,Snæfellsnes Peninsula,Grundarfjarðarbær,,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (10 min to Falls),Quick Stop (45m-1h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,10,24,,64.9261558,-23.3114014,"https://www.google.com/maps?q=64.9261558,-23.3114014"
Seljalandsfoss,Waterfalls,Waterfall,South,South Coast,,Rangárþing eystra,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Walk to Base),Standard Visit (45m-1h),Paid Parking Fee (~800 ISK),5-Star (World-Class),curated,10,28,,63.6154882,-19.9883253,"https://www.google.com/maps?q=63.6154882,-19.9883253"
Skógafoss,Waterfalls,Waterfall,South,South Coast,,Rangárþing eystra,Tier 1 (S-Tier),Iconic,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Walk to Base),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,13,28,,63.5320952,-19.5116355,"https://www.google.com/maps?q=63.5320952,-19.5116355"
Askja,Hikes / Places to Hike,Volcanic Crater Lake,Northeast,Highlands,,Þingeyjarsveit,Tier 2 (A-Tier),High,Challenging (Deep 4x4 F-Road),Yes - Weather & F-Road Dependent (Closes mid/late Sept),Jul-Sep Only,Moderate Hike (45 min Walk across Lava Field to Crater),Full-Day (8-10h),Free / Open Access,5-Star (World-Class),curated,0,2,,65.0121558,-16.7486572,"https://www.google.com/maps?q=65.0121558,-16.7486572"
Fimmvörðuháls trail,Hikes / Places to Hike,Epic Trek,Not assessed,South Coast,,,Tier 2 (A-Tier),High,Challenging (Strenuous 25km Hike),Yes - Open Early Sept (Weather Dependent),Jun-Sep,Epic Multi-Day / Full-Day Trek (25km Mountain Pass / 8-10h),Full-Day (8-10h),Free / Open Access,5-Star (World-Class),curated,,,yes,63.622,-19.4307,"https://www.google.com/maps?q=63.622,-19.4307"
Glymur hike,Hikes / Places to Hike,Canyon Waterfall Hike,West,West Iceland,,Hvalfjarðarsveit,Tier 2 (A-Tier),Very High,Moderate (Strenuous 3-4h hike),Yes - Open (Log bridge up),May-Sep,Strenuous / Long Hike (3.5h Loop / River Crossing & Cable),Half-Day (3-4h),Free / Open Access,5-Star (World-Class),curated,7,56,,64.3844921,-21.2883533,"https://www.google.com/maps?q=64.3844921,-21.2883533"
Laugavegur trail,Hikes / Places to Hike,Epic Trek,Not assessed,Highlands,,,Tier 2 (A-Tier),Iconic,Challenging (Multi-day Trek),Closing (Huts close ~Sept 15),Jun-Sep Only,Epic Multi-Day / Full-Day Trek (55km / 3-4 Days),Full-Day / Multi-Day,Free Trek (Hut Reservation Required if staying),5-Star (World-Class),curated,,,yes,63.9923,-19.0596,"https://www.google.com/maps?q=63.9923,-19.0596"
"Skaftafell Visitor Centre, Vatnajökull National Park",Hikes / Places to Hike,National Park Hub,South,South Coast,,Sveitarfélagið Hornafjörður,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Moderate Hike (1.5h - 3h Trail Options),Half-Day (2-4h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,6,15,,63.9952551,-16.9709814,"https://www.google.com/maps?q=63.9952551,-16.9709814"
Þórsmörk,Hikes / Places to Hike,Glacial Valley,South,South Highlands,,Rangárþing eystra,Tier 2 (A-Tier),High,Challenging (Super Jeep / River Crossings),Yes - Open Early Sept (Super Jeep Required),Jun-Sep,Strenuous / Long Hike (1.5h - 5h Ridge Trail Options),Full-Day (6-8h),Free Access (Tour Fee if booked),5-Star (World-Class),curated,13,31,,63.7026554,-19.4271489,"https://www.google.com/maps?q=63.7026554,-19.4271489"
Valley of Reykjadalur,Hot springs,Thermal River Hike,South,South Coast / South,,Sveitarfélagið Ölfus,Tier 2 (A-Tier),Very High,Moderate (3km hike each way),Yes - Fully Open,May-Oct,Strenuous / Long Hike (3km Uphill Each Way / 2.5-3h Total),Half-Day (3-4h),Paid Parking Fee (~750 ISK),4-Star,curated,12,64,,64.0320968,-21.2155828,"https://www.google.com/maps?q=64.0320968,-21.2155828"
Arnarstapi,Points of Interest,Coastal Cliffs,West,Snæfellsnes Peninsula,,Snæfellsbær,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (30-45 min Coastal Cliff Walk),Standard Visit (1-1.5h),Free / Open Access,4-Star,curated,17,19,,64.7691204,-23.6258982,"https://www.google.com/maps?q=64.7691204,-23.6258982"
Búðir church,Points of Interest,Historic Black Church,West,Snæfellsnes Peninsula,,Snæfellsbær,Tier 2 (A-Tier),High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (2 min Walk),Quick Stop (20-30m),Free / Open Access,4-Star,curated,14,22,,64.8231996,-23.3846139,"https://www.google.com/maps?q=64.8231996,-23.3846139"
